Descubrí mi blog de filosofía y pensamiento contemporáneo. Anuncios de cursos y talleres. Entrevistas. Escritos sob… https://t.co/yIg7QuNWxz;0;1;0;1;0;1
RT @Juanmi_News: El Instituto de Derecho Público de la Univ. Rey Juan Carlos, cuyo director es el director del máster de Cifuentes, pagó a…;1;0;1;0;1;0
RT @RogerC88: Apartan a un profesor de historia porque no enseñaba tesis independentistas. Esto es una vergüenza, van a por nosotros y no l…;0;1;1;0;1;0
RT @PablaLunar: estoy a nada de matarme despues dicen que la facultad te forma si como paciente psiquiatrico;1;0;1;0;1;0
RT @isaacj: El director del máster de Cifuentes 'enchufó' a su mujer en un cargo de la Universidad Rey Juan Carlos | URJ https://t.co/qGESp…;1;1;1;0;1;1
RT @GirautaOficial: En el cole, el profesor tiene que seguir los manuales de historia escritos por el portavoz de la separatista y golpista…;0;1;1;0;1;0
@Al4d4r La versión mexicana será. Por cierto Maestro Manera y Señor Barro. Da para sitcom. https://t.co/fKQD44UG1p;0;1;1;0;1;0
RT @Emma1492is: Atentos a las palabras de Rafael Hernando !! Echa la culpa a los que denuncian y critican la corrupción y el engaño del más…;1;0;0;1;1;0
RT @lu_giampa: ni siquiera vamos medio año que ya odio ir al colegio lpm;1;0;0;1;1;0
Con este revolucionario método pretenden potabilizar el agua de mar #Ciencia https://t.co/f2AgqLL5bE;0;1;1;0;0;1
RT @TotoCagnoli: COLEGIO ME TENES LOS HUEVOS LLENOS, DEJA DE MANDARME TRABAJOS, EXAMENES Y TAREAS, ME VOY A SUICIDAR ASI DESCANSO UN TOQUE;0;1;1;0;0;1
"#Universidad Popular #Yecla "" Medicina popular y plantas medicinales"" hoy Encarna Carreño nos enseña las infusiones… https://t.co/aLF5TG3fSG";0;1;0;1;1;0
RT @polituitts: ???? Reprobé ???? Reprobé ???? Reprobé ???? Reprobé ???? Reprobé ???? No wey pinche maestro me reprobó, desde que entre a su clase me…;0;1;1;0;1;0
RT @FioMicuccio: Agradezco al cielo y todo el universo la forma en que me rio con mis compañeros de la facultad;0;1;1;0;1;0
RT @HLfavorito: ELLOS: LA EXTINCIÓN DE LOS DINOSAURIOS Escritor: @DMiguelez7 David Miguélez Alegre Ciencia Ficción eBook: https://t.co/S6…;0;1;0;1;0;1
RT @Magabbenitez: Si estás d novia con un colombiano q te mando un mensaje a la mañana diciendo que estaba desde las 05.30 en la facultad,…;0;1;0;1;0;1
RT @SantiagoBaza: La facultad te hace vivir en un estado de preocupación y culpa permanente. Te levantas y te acostas preocupado porque no…;1;0;0;1;1;0
Las auténticas causas de la muerte: La gente se muere al otro lado de nuestras cucharadas… https://t.co/cEKGt53UqN;0;1;0;1;1;0
RT @PablaLunar: estoy a nada de matarme despues dicen que la facultad te forma si como paciente psiquiatrico;1;0;1;0;1;0
Se ha ido un maestro. Alguien que cuando hablaba el mundo se paraba para escuchar, se ha ido aquel hombre que se en… https://t.co/5n2iKK5h9j;0;1;0;1;1;1
Te odio facultad la ornitorrinca;1;0;0;1;1;0
"RT @nelsonavila: Aquì en Chile, entramos a la segunda temporada de la ""Casa del Papel Higiènico"" en la sede del club Colo Colo. Elenco este…";1;0;1;0;0;1
RT @tonivall: Ha muerto uno de los mejores actores de doblaje, el gran Pepe Mediavilla, voz de Morgan Freeman, Mr Spock, Gandalf y docenas…;1;0;0;1;1;0
RT @JulianFMartinez: En el libro “Maquiavelo en Colombia”, el ex senador @IvanDuque elogia a su mentor y maestro @JuanManSantos y este a su…;0;1;1;1;1;1
CONTINUAMOS CON LA PROGRAMACIÓN El día 25 tendremos también tenemos el placer de tener a nuestr@s compañer@s de fa… https://t.co/jtqHvGG2UI;0;1;0;1;0;1
RT @YASTINPUT0: odio que me digan que no tengo motivos para estar cansada EL COLEGIO, LOS EXAMENES, CONVIVIR CON PELOTUDOS DE MENTE CERRADA…;1;1;0;1;1;1
RT @cunadometro: Ningún estudiante universitario está dispuesto a renunciar a su máster si de verdad lo ha hecho, si de verdad se ha esforz…;0;1;0;1;0;1
RT @alegrotix: Hoy es un día triste para el doblaje español Nos ha dejado el gran Pepe Mediavilla Descansa en paz, maestro https://t.co/CBK…;1;1;1;0;1;0
RT @PortalClasico: Fresco que muestra a un cazador luchando contra un felino, posiblemente en el contexto de una venatio del anfiteatro. Ha…;0;0;1;0;0;1
RT @SantiagoBaza: La facultad te hace vivir en un estado de preocupación y culpa permanente. Te levantas y te acostas preocupado porque no…;1;0;0;1;1;0
RT @elheraldo_mx: Sophia Loren, Carlos Slim y Angélica Rivera en el front row del desfile de #Dolce&Gabbana en el Museo Soumaya. https://t.…;0;1;1;0;0;1
RT @el_pais: 9. Lo bueno de la autopsia mínimamente invasiva es que se puede devolver el cadáver intacto a su familia. Es un proceso rápido…;0;1;1;0;0;1
RT @LDMP_LadyQ: Para recordar al Maestro con una sonrisa, os dejo este increíble archivo sonoro en el q @laORBITAdeENDOR, @LucesHorizonte y…;0;1;1;0;1;0
RT @Magabbenitez: Si estás d novia con un colombiano q te mando un mensaje a la mañana diciendo que estaba desde las 05.30 en la facultad,…;0;1;0;1;0;1
Llegue a la facultad, vi mucha gente afuera y pensé, ojalá haya amenaza de bomba. Y no, solo eran niños del secundario ??;1;1;1;1;1;0
RT @FioMicuccio: Agradezco al cielo y todo el universo la forma en que me rio con mis compañeros de la facultad;0;1;1;0;1;0
RT @hablavegas: 18 años deducar con odio y antis:leer a un profesor dla @pucp hiere, lastima, indigna, con esta clase d in felices comentar…;1;0;0;1;1;0
RT @EdelweissParla: Nueva entrada en la web: @EdelweissParla , presente en la VI Edición de la Feria del Libro de Parla https://t.co/lVuJE3…;0;1;0;1;0;1
RT @JuristasUNAM: El conocimiento de los límites de la voluntad propicia que el conocimiento del mundo esté bien encauzado. https://t.co/D2…;0;1;0;1;1;1
RT @VotaCiudadanos: .@ignacioaguado “Tenemos que recuperar el prestigio de la universidad pública, y el primer paso es su dimisión, señora…;0;1;0;1;0;1
La clase pasada cuando falte a historia Le pedí los apuntes a una compañera y me dijo que solamente habían leído el… https://t.co/KgNJSoPe3L;0;1;1;0;1;0
RT @juancdula: La destrucción de las universidades autónomas es parte de un plan premeditado para imponer un modelo de universidad unidimen…;1;0;1;0;0;1
Yo todas las mañanas en la escuela cuando pienso en mi cama https://t.co/cZL2GpZDhF;0;1;1;0;0;1
RT @EduuSosa: ???? No estudié ???? No estudié ???? No estudié ???? No estudié ???? Nembre mamá hubieras visto el examen, el maestro se pasó, todo…;0;1;1;0;1;0
RT @candela_mujica: Liceo TE ODIO;1;0;0;1;1;0
RT @SelvaAndreoli: Declaración innecesaria y decepcionante de Javier Miranda: “De León es inocente hasta que no se demuestre lo contrario”…;0;1;1;0;0;1
RT @JaimeTF: Muere el actor de doblaje Pepe Mediavilla, la voz de Gandalf y Spock DEP MAESTRO https://t.co/Dh8sPRk7hi vía @Hobby_Consolas;0;1;1;0;1;0
El Instituto Ceutí de Deportes y la Federación de Atletismo de Ceuta han organizado para mañana viernes las pruebas… https://t.co/Psi6T6iqhU;0;1;0;1;0;1
RT @polituitts: Yo entrando a la universidad con sueños y ambiciones // Yo ahorita con mi vida de adulto y crisis existenciales. https://t.…;1;1;1;1;1;1
Ir a recoger a mi hermano al instituto y pensar si yo era así.;0;1;0;1;0;1
"RT @EnfoqueNoticias: ""Preocupante que candidatos no conozcan atribuciones de seguridad y procuración de justicia;0;1;0;1;1;0
RT @josepramonbosch: ¿Adoctrinamiento escolar en Catalunya? NO!!. Esto es una escuela pública de Alcarras en Lleida, donde fluye el amor y…;0;1;0;1;1;0
RT @Cosas_Felices: Noticia triste cuanto menos. Pepe Mediavilla, actor de doblaje que dio vida a Gandalf, Morgan Freeman o el Spock de Leon…;1;1;1;1;1;1
RT @MiqqaDiazz: la verdad q veo todo lo q tengo q hacer del colegio y me río para ocultar mis tremendas ganas de suicidarme;0;1;0;1;0;1
RT @SantiagoBaza: La facultad te hace vivir en un estado de preocupación y culpa permanente. Te levantas y te acostas preocupado porque no…;1;0;0;1;1;0
RT @CopeRioja: ??AUDIO: El titulo en juego @VoleibolLogrono https://t.co/K53Zy8Zgt4 vía @cope_es;0;1;0;1;0;1
RT @Magabbenitez: Si estás d novia con un colombiano q te mando un mensaje a la mañana diciendo que estaba desde las 05.30 en la facultad,…;0;1;0;1;0;1
RT @AntonioAttolini: Y es que cuando hay un proyecto que quiere recuperar la esperanza y se basa en la innovación y en la ciencia, es muy f…;0;1;0;1;0;1
RT @CSIC: El 95% de la población mundial respira un aire 'peligroso' para la salud. https://t.co/L1sftbsMxr v @elmundociencia;0;1;1;0;1;0
RT @cataperezcorrea: Me perdí. ¿Cómo llegamos a Calderón dando cátedra sobre violencia, Slim hablando sobre justicia social y Garcia Luna s…;0;1;0;1;1;0
RT @cataperezcorrea: Me perdí. ¿Cómo llegamos a Calderón dando cátedra sobre violencia, Slim hablando sobre justicia social y Garcia Luna s…;0;1;0;1;1;0
RT @SantiagoBaza: La facultad te hace vivir en un estado de preocupación y culpa permanente. Te levantas y te acostas preocupado porque no…;1;0;0;1;1;0
"RT @JoanQueralt: Carta de un profesor de la Rey Juan Carlos: ""A la URJC no siempre le interesa contar con los mejores"", por Antonio Cuerda,…";1;1;1;1;1;1
RT @Magabbenitez: Si estás d novia con un colombiano q te mando un mensaje a la mañana diciendo que estaba desde las 05.30 en la facultad,…;0;1;0;1;0;1
"?? Raquel Ejerique: ""No se ha expedientado al profesor Chico de la Cámara que defedió que fue un error""… https://t.co/DVXL7QaXDQ";0;1;0;1;0;1
RT @EduuSosa: ???? No estudié ???? No estudié ???? No estudié ???? No estudié ???? Nembre mamá hubieras visto el examen, el maestro se pasó, todo…;0;1;1;0;1;0
RT @CruzPauta: @interagua A QUE HORA LLEGA EL AGUA TENEMOS HIJOS EN LA ESCUELA MUEVAN HAGAN SU TRABAJO.;0;1;1;0;0;1
RT @minacaracol: Falleció en Cali, el profesor Universitario Marc Willian Chernich de 62 años natural de los EEUU donde adelantó una valios…;0;1;1;0;0;1
RT @EEColombia2020: El Museo Nacional de Memoria Histórica de Colombia se expone por primera vez, aunque físicamente todavía no exista. En…;0;1;1;1;0;1
RT @SantiagoBaza: La facultad te hace vivir en un estado de preocupación y culpa permanente. Te levantas y te acostas preocupado porque no…;1;0;0;1;1;0
RT @Magabbenitez: Si estás d novia con un colombiano q te mando un mensaje a la mañana diciendo que estaba desde las 05.30 en la facultad,…;0;1;0;1;0;1
RT @iescolar: Durísima esta carta de Antonio Cuerda, Catedrático de Derecho Penal, donde denuncia una red clientelar en le Universidad Rey…;0;1;0;1;0;1
Lo único que me gustaría del camino de mi casa a la escuela por las mañanas es que puedo ver todas las luces de la ciudad.;0;1;1;0;0;1
La inteligencia no podría representar mucho tiempo el papel del corazón.;1;1;1;1;1;1
RT @Addictionxjoel: Que paja ir al colegio porfavorrrr, odio esto;1;0;0;1;1;0
él ha oído mi clamor durante el día, y me ha dado conocimiento en visiones durante la noche. https://t.co/5ZmLXTh4iJ;0;1;0;1;0;1
#TogiveJungle Tercer Plan de Gobierno Abierto España. Potenciar la cooperación y el intercambio de conocimiento y e… https://t.co/gFoaUaZpYM;0;1;0;1;0;1
RT @vigiadeisbilya: LA FERIA DE SEVILLA (Detalle) Autor Andrés Cortés. 1852 Museo de Bellas Artes de Bilbao. @Feria_deAbril #FelizMiercoles…;0;1;1;0;0;1
RT @Magabbenitez: Si estás d novia con un colombiano q te mando un mensaje a la mañana diciendo que estaba desde las 05.30 en la facultad,…;0;1;0;1;0;1
RT @cataperezcorrea: Me perdí. ¿Cómo llegamos a Calderón dando cátedra sobre violencia, Slim hablando sobre justicia social y Garcia Luna s…;0;1;0;1;1;0
El amor q sentimos los comerciantes hacia nuestro querido colegio no lo cambia nadie. Y muchos pueden decir que am… https://t.co/qovgmmXXkL;0;1;0;1;1;0
